model,dataset,lambda,corruption,accuracy
ProtoPFormer,Stanford Dogs-C,0.0,shot_noise,53.333333333333336
ProtoPFormer,Stanford Dogs-C,0.3,shot_noise,53.31002331002331
ProtoPFormer,Stanford Dogs-C,0.5,shot_noise,53.22843822843822
ProtoPFormer,Stanford Dogs-C,0.7,shot_noise,53.671328671328666
ProtoPFormer,Stanford Dogs-C,1.0,shot_noise,51.99300699300699
ProtoPFormer,Stanford Dogs-C,0.0,speckle_noise,61.91142191142192
ProtoPFormer,Stanford Dogs-C,0.3,speckle_noise,62.004662004662
ProtoPFormer,Stanford Dogs-C,0.5,speckle_noise,62.843822843822835
ProtoPFormer,Stanford Dogs-C,0.7,speckle_noise,61.934731934731936
ProtoPFormer,Stanford Dogs-C,1.0,speckle_noise,60.24475524475525
ProtoSViT,Stanford Cars-C,0.0,brightness,93.17249059677124
ProtoSViT,Stanford Cars-C,0.3,brightness,93.17249059677124
ProtoSViT,Stanford Cars-C,0.5,brightness,93.18493008613586
ProtoSViT,Stanford Cars-C,0.7,brightness,93.19736361503601
ProtoSViT,Stanford Cars-C,1.0,brightness,92.53824353218079
ProtoSViT,Stanford Cars-C,0.0,contrast,92.78696775436401
ProtoSViT,Stanford Cars-C,0.3,contrast,92.77452826499939
ProtoSViT,Stanford Cars-C,0.5,contrast,92.78696775436401
ProtoSViT,Stanford Cars-C,0.7,contrast,92.79940128326416
ProtoSViT,Stanford Cars-C,1.0,contrast,91.59308671951294
ProtoSViT,Stanford Cars-C,0.0,defocus_blur,82.78821110725403
ProtoSViT,Stanford Cars-C,0.3,defocus_blur,82.86283016204834
ProtoSViT,Stanford Cars-C,0.5,defocus_blur,82.75090456008911
ProtoSViT,Stanford Cars-C,0.7,defocus_blur,82.75090456008911
ProtoSViT,Stanford Cars-C,1.0,defocus_blur,80.61186671257019
ProtoSViT,Stanford Cars-C,0.0,elastic_transform,83.13642740249634
ProtoSViT,Stanford Cars-C,0.3,elastic_transform,83.09911489486694
ProtoSViT,Stanford Cars-C,0.5,elastic_transform,83.07424187660217
ProtoSViT,Stanford Cars-C,0.7,elastic_transform,83.11155438423157
